raw_record_id,source_db,doc_id_canonical,dedup_reason
2-s2.0-85120655834,,FI_000145,kept
2-s2.0-84961872559,,FI_000146,kept
2-s2.0-85194371725,,FI_000147,kept
2-s2.0-85061233486,,FI_000148,kept
2-s2.0-85065147055,,FI_000149,kept
2-s2.0-85075309123,,FI_000150,kept
2-s2.0-85085092220,,FI_000151,kept
2-s2.0-85088293589,,FI_000152,kept
2-s2.0-85100803828,,FI_000153,kept
2-s2.0-85111797443,,FI_000154,kept
2-s2.0-105004183132,,FI_000155,kept
2-s2.0-105021504832,,FI_000156,kept
2-s2.0-85047668076,,FI_000157,kept
2-s2.0-85019707079,,FI_000158,kept
2-s2.0-85043360968,,FI_000159,kept
WOS:000729912800001,,FI_000160,kept
2-s2.0-85185932111,,FI_000161,kept
2-s2.0-105013471649,,FI_000162,kept
2-s2.0-105002086116,,FI_000163,kept
2-s2.0-85120412851,,FI_000164,kept
2-s2.0-85133194583,,FI_000165,kept
2-s2.0-85135112453,,FI_000166,kept
2-s2.0-17644423415,,FI_000167,kept
2-s2.0-85152080228,,FI_000168,kept
2-s2.0-85185699370,,FI_000169,kept
2-s2.0-85190248738,,FI_000170,kept
2-s2.0-105001649705,,FI_000171,kept
2-s2.0-105007755394,,FI_000172,kept
2-s2.0-105020069423,,FI_000173,kept
2-s2.0-105023402733,,FI_000174,kept
2-s2.0-105023376790,,FI_000175,kept
2-s2.0-105026172556,,FI_000176,kept
2-s2.0-85044868234,,FI_000177,kept
2-s2.0-105025711946,,FI_000178,kept
2-s2.0-105025039083,,FI_000179,kept
2-s2.0-85101441931,,FI_000180,kept
2-s2.0-85159905743,,FI_000181,kept
2-s2.0-105007848239,,FI_000182,kept
2-s2.0-105005867848,,FI_000183,kept
2-s2.0-85174836309,,FI_000184,kept
2-s2.0-85191164666,,FI_000185,kept
2-s2.0-85205882214,,FI_000186,kept
2-s2.0-105005096534,,FI_000187,kept
2-s2.0-105018715812,,FI_000188,kept
WOS:000270724000016,,FI_000189,kept
2-s2.0-85145943861,,FI_000190,kept
2-s2.0-105005472863,,FI_000191,kept
2-s2.0-85055859028,,FI_000192,kept
2-s2.0-85128901431,,FI_000193,kept
2-s2.0-85090110240,,FI_000194,kept
2-s2.0-85092477973,,FI_000195,kept
2-s2.0-85064372210,,FI_000196,kept
2-s2.0-85061102859,,FI_000197,kept
2-s2.0-85060796644,,FI_000198,kept
2-s2.0-85060820613,,FI_000199,kept
2-s2.0-85064039282,,FI_000200,kept
2-s2.0-85065087661,,FI_000201,kept
WOS:000493514000038,,FI_000202,kept
2-s2.0-85065735460,,FI_000203,kept
2-s2.0-85069870876,,FI_000204,kept
2-s2.0-85086867805,,FI_000205,kept
2-s2.0-85072953224,,FI_000206,kept
2-s2.0-85072864253,,FI_000207,kept
2-s2.0-85075607988,,FI_000208,kept
2-s2.0-85082298513,,FI_000209,kept
2-s2.0-85092495508,,FI_000210,kept
2-s2.0-85092445941,,FI_000211,kept
WOS:000722300500005,,FI_000212,kept
2-s2.0-85149585906,,FI_000213,kept
2-s2.0-85107065623,,FI_000214,kept
2-s2.0-85084923367,,FI_000215,kept
2-s2.0-85123407298,,FI_000216,kept
2-s2.0-85143648506,,FI_000217,kept
2-s2.0-85150123768,,FI_000218,kept
2-s2.0-85150575323,,FI_000219,kept
2-s2.0-85150427189,,FI_000220,kept
2-s2.0-85088498143,,FI_000221,kept
2-s2.0-85088521894,,FI_000222,kept
2-s2.0-85110892431,,FI_000223,kept
2-s2.0-85089722862,,FI_000224,kept
2-s2.0-85161888037,,FI_000225,kept
2-s2.0-85143111403,,FI_000226,kept
2-s2.0-85122235558,,FI_000227,kept
2-s2.0-85149858525,,FI_000228,kept
2-s2.0-85098113253,,FI_000229,kept
2-s2.0-85098276993,,FI_000230,kept
2-s2.0-85098235636,,FI_000231,kept
2-s2.0-85160135605,,FI_000232,kept
2-s2.0-85143738789,,FI_000233,kept
2-s2.0-85124826541,,FI_000234,kept
2-s2.0-85150908542,,FI_000235,kept
2-s2.0-85102504040,,FI_000236,kept
2-s2.0-85104433013,,FI_000237,kept
2-s2.0-85108524217,,FI_000238,kept
2-s2.0-85103454366,,FI_000239,kept
2-s2.0-85104453025,,FI_000240,kept
2-s2.0-85107878862,,FI_000241,kept
2-s2.0-85107498778,,FI_000242,kept
2-s2.0-85165615318,,FI_000243,kept
2-s2.0-85113314982,,FI_000244,kept
2-s2.0-85164754667,,FI_000245,kept
2-s2.0-85114323583,,FI_000246,kept
2-s2.0-85165052984,,FI_000247,kept
2-s2.0-85111995612,,FI_000248,kept
2-s2.0-85164187587,,FI_000249,kept
2-s2.0-85113557153,,FI_000250,kept
2-s2.0-85150961523,,FI_000251,kept
2-s2.0-85207390319,,FI_000252,kept
2-s2.0-85115165455,,FI_000253,kept
2-s2.0-85115140167,,FI_000254,kept
2-s2.0-85115261522,,FI_000255,kept
2-s2.0-105003329189,,FI_000256,kept
2-s2.0-85123280730,,FI_000257,kept
2-s2.0-85124149714,,FI_000258,kept
2-s2.0-85207443701,,FI_000259,kept
2-s2.0-85177702820,,FI_000260,kept
2-s2.0-85165015287,,FI_000261,kept
2-s2.0-85124050109,,FI_000262,kept
2-s2.0-85123995797,,FI_000263,kept
2-s2.0-85133318352,,FI_000264,kept
2-s2.0-85131137286,,FI_000265,kept
2-s2.0-85156097885,,FI_000266,kept
2-s2.0-85139464018,,FI_000267,kept
2-s2.0-85140430646,,FI_000268,kept
2-s2.0-85140436824,,FI_000269,kept
2-s2.0-85135097241,,FI_000270,kept
WOS:000892373200066,,FI_000271,kept
2-s2.0-85135054683,,FI_000272,kept
2-s2.0-85135044201,,FI_000273,kept
2-s2.0-85133022747,,FI_000274,kept
2-s2.0-85133221689,,FI_000275,kept
2-s2.0-85137539978,,FI_000276,kept
2-s2.0-85161402950,,FI_000277,kept
2-s2.0-85163679963,,FI_000278,kept
2-s2.0-85153809988,,FI_000279,kept
2-s2.0-85142085552,,FI_000280,kept
2-s2.0-85140476833,,FI_000281,kept
2-s2.0-85142741650,,FI_000282,kept
2-s2.0-85145209687,,FI_000283,kept
2-s2.0-85145175338,,FI_000284,kept
2-s2.0-85151148336,,FI_000285,kept
2-s2.0-85142715562,,FI_000286,kept
2-s2.0-85158082727,,FI_000287,kept
2-s2.0-85161467854,,FI_000288,kept
2-s2.0-85151308651,,FI_000289,kept
2-s2.0-85151255971,,FI_000290,kept
2-s2.0-85152084483,,FI_000291,kept
2-s2.0-85151929128,,FI_000292,kept
2-s2.0-85151968094,,FI_000293,kept
2-s2.0-85151922909,,FI_000294,kept
2-s2.0-85152069963,,FI_000295,kept
2-s2.0-85152224116,,FI_000296,kept
2-s2.0-85152241506,,FI_000297,kept
2-s2.0-85161405131,,FI_000298,kept
2-s2.0-85164132554,,FI_000299,kept
2-s2.0-85151148818,,FI_000300,kept
2-s2.0-85152586754,,FI_000301,kept
2-s2.0-85152521154,,FI_000302,kept
2-s2.0-85167926177,,FI_000303,kept
2-s2.0-85167914670,,FI_000304,kept
2-s2.0-85167901953,,FI_000305,kept
2-s2.0-85167927792,,FI_000306,kept
2-s2.0-85167886712,,FI_000307,kept
2-s2.0-85167901671,,FI_000308,kept
2-s2.0-85152587604,,FI_000309,kept
2-s2.0-85166982354,,FI_000310,kept
2-s2.0-85166153275,,FI_000311,kept
2-s2.0-85167407134,,FI_000312,kept
2-s2.0-85168709624,,FI_000313,kept
2-s2.0-85168696222,,FI_000314,kept
2-s2.0-85168649845,,FI_000315,kept
2-s2.0-85168703787,,FI_000316,kept
2-s2.0-85168668697,,FI_000317,kept
2-s2.0-85168669880,,FI_000318,kept
2-s2.0-85161103516,,FI_000319,kept
2-s2.0-85175184307,,FI_000320,kept
2-s2.0-85176223266,,FI_000321,kept
2-s2.0-85169698171,,FI_000322,kept
2-s2.0-85172739121,,FI_000323,kept
2-s2.0-85171177417,,FI_000324,kept
2-s2.0-85175163697,,FI_000325,kept
2-s2.0-85183934074,,FI_000326,kept
2-s2.0-85196101234,,FI_000327,kept
2-s2.0-85201402868,,FI_000328,kept
2-s2.0-85172198893,,FI_000329,kept
2-s2.0-85195297124,,FI_000330,kept
2-s2.0-85172027483,,FI_000331,kept
2-s2.0-85186633339,,FI_000332,kept
2-s2.0-85182014947,,FI_000333,kept
2-s2.0-85180285490,,FI_000334,kept
2-s2.0-85184839139,,FI_000335,kept
2-s2.0-85180821527,,FI_000336,kept
2-s2.0-85186423900,,FI_000337,kept
2-s2.0-85191331648,,FI_000338,kept
2-s2.0-85191319400,,FI_000339,kept
2-s2.0-105003341748,,FI_000340,kept
2-s2.0-85180539523,,FI_000341,kept
2-s2.0-85180536262,,FI_000342,kept
2-s2.0-85180786779,,FI_000343,kept
2-s2.0-85181981896,,FI_000344,kept
2-s2.0-85184132027,,FI_000345,kept
