node,publications,degree
"Ali, A.",1,0
"Ramakrishnan, S.",2,0
"Faisal, F.",2,0
"Ullah, Z.",1,0
"Ghosh, C.",3,1
"Chaudhury, R.H.",3,1
"Xu, F.",2,0
"Zhang, X.",14,3
"Zhou, D.",2,0
"Polyzos, E.",1,0
"Samitas, A.",1,0
"Rubbaniy, G.",2,0
"Singhania, M.",1,0
"Chadha, G.",1,0
"Prasad, R.",2,0
Khan,3,0
H.H.,2,0
"Hansen-Addy, A.E.",1,0
"Parrilli, M.D.",1,0
"Tingbani, I.",1,0
"Ha, D.",2,1
"Nguyen, M.",1,0
"Nguyen, K.",3,1
"Sensoy, A.",1,0
"Geraldes, H.S.A.",2,2
"Gama, A.P.M.",3,2
"Augusto, M.",2,2
"Fu, Q.",8,1
"Zhang, Y.",33,7
"Yang, Z.",6,3
"Probowulan, D",1,0
"Ardianto, A",1,0
"Wakunuma-Zojer, K.",1,0
"Siwale, J.",3,0
"Beck, R.",1,0
"Suwandaarachchi, C.M.",1,0
"Bahri, S.",3,1
"Fauzi, A.",2,1
"Nan, W.",1,0
"Zhu, X.",1,0
"Markus, M.",1,0
"Apostu, Sa",1,0
"Panait, M",2,0
"Vasile, V",1,0
"Sharma, Gd",1,0
"Vasile, R",1,0
Thanaawathphuvaphan,1,0
T.,29,4
"Connor, J.P.",1,0
"Troendle, K.",1,0
"Kanobe, F.",2,2
"Alexander, M.P.",2,2
"Bwalya, K.J.",2,2
"Bray, J.R.",1,0
"Gray, M.",1,0
"Hand, K.",1,0
"Katz, I.",1,0
"Buliskeria, N",1,0
"Baxa, J",1,0
"Witte, S.S.",2,0
"Ssewamala, F.M.",7,7
"Kiyingi, J.",1,0
"Bellamy, S.L.",1,0
"Yang, L.S.",1,0
"Nabunya, P.",5,7
"Bahar, O.S.",1,0
"Mayo-Wilson, L.J.",1,0
"Tozan, Y.",1,0
"Mwebembezi, A.",1,0
"Kagaayi, J.",1,0
"Jones, J.H.M.",2,0
"Williams, M.",2,0
"Nilsson, E.",1,0
"Thorat, Y.",1,0
"Sarma, M.",1,0
"Pais, J.",1,0
Schwittay,4,1
"Afonso, J.S.",1,0
"Morvant-Roux, S.",5,2
"Guérin, I.",9,4
"Islam, K.J.",1,0
"Simpson, W.",3,1
"Bozkurt, I.",1,0
"Karakuş, R.",1,0
"Yildiz, M.",1,0
"Hussain, J.",4,1
"Mahmood, S.",5,2
"Scott, J.",1,0
"Adetunji, O.M.",1,0
"David-West, O.",5,2
Girard,2,1
"Murendo, C.",1,0
"Murenje, G.",1,0
"Chivenge, P.P.",1,0
"Mtetwa, R.",1,0
"Pesqué-Cela, V.",2,0
"Tian, L.",1,0
"Luo, D.",1,0
"Tobin, D.",1,0
"Kling, G.",1,0
"Bostedt, G.",1,0
"Mukoya, L.",1,0
"Muricho, D.",1,0
"Nyberg, G.",1,0
"Layaoen, C.W.G.",1,0
"Takahashi, K.",1,0
Balliester Reis,1,0
"Bedaiwy, S.",1,0
"Peter, D.",1,0
"Sakyi-Nyarko, C",1,0
"Ahmad, Ah",1,0
"Green, Cj",1,0
"Johnen, C.",4,2
"Musshoff, O.",11,5
"Bros, C.",1,0
"Fareed, F.",2,0
"Lochard, J.",1,0
"Behr, P.",2,0
"Jacob, J.",1,0
"Mhlanga, D.",7,1
"Dianda, I.",1,0
"Ouedraogo, I.",1,0
"Sawadogo, H.",1,0
"Ankrah, D.A.",2,2
"Asante, B.O.",2,2
"Prah, S.",2,2
"Boateng, F.K.",1,0
"Senou, M.M.",3,0
"Acclassato Houensou, D.A.",1,0
"Saravanabhavan, S",1,0
"Rajeev, M",1,0
"Biru, A",1,0
"Molla, A",2,0
"Ferraro, S",1,0
"Navon, Y",1,0
"Sodokin, K.",2,0
"Djafon, J.",1,0
"Agurto, M.",1,0
"Djebbari, H.",1,0
"Sarangi, S.",1,0
"Silupu, B.",1,0
"Trivelli, C.",1,0
"Torres, J.",2,0
Kantola,1,0
K.,35,3
"Marar, P.",1,0
"Iyer, B.S.",1,0
"Brahme, U.",1,0
Périlleux,1,0
"Chan, S.H.",1,0
"Lin, J.J.",1,0
Shankar,3,1
Ashta,2,0
"Kim, H",1,0
"De Moor, L",1,0
"Bumacov, V.",1,0
"Ashta, A.",9,0
"Singh, P.",12,1
Balemba Kanyurhi,1,0
E.B.,1,0
"Bhaird, Cm",1,0
"Owen, R",1,0
"Dodd, Sd",1,0
"Wilson, J",1,0
"Bisignano, A",1,0
"Singhe, S.S.",1,0
"Louche, C.",1,0
"Milana, C.",1,0
"Chidambaranathan, M.",1,0
"Guha, S.",4,1
"Caballero-Montes, T.",1,0
"Godfroid, C.",2,0
"Labie, M.",5,2
"Bhandare, P.V.",2,1
"Dhib, N.",2,0
"Ogundana, O.M.",1,0
"Umoru, U.",1,0
"Udeozor, V.",1,0
"Verdie, J.-F.",1,0
"Uduji, Ji",2,2
"Okolo-Obasi, En",2,2
"Asongu, Sa",10,3
"Mia, M.A.",8,3
"Sangwan, S.",3,0
"Hussain, A.H.M.B.",2,0
"Malim, N.A.K.",2,1
Potnis,1,0
D.,53,7
"Fereydooni, S.",1,0
"Valdez, C.",1,0
"William, L.",1,0
"Malik, D.",1,0
"Mehra, S.",1,0
"Judson, B.",1,0
Menon,1,0
P.,34,4
"Barik, R.",4,2
"Sharma, P.",4,1
Chakraborty,1,0
G.,28,2
"Nayak, N.C.",2,0
"Yadav, V.",2,1
"Singh, B.P.",5,2
"Nirmala, N.",1,0
"Fayyaz, S.",1,0
"Khan, A.",4,0
Lenka,1,0
S.K.,5,0
"Bondzie-Micah, V.",1,0
"Bentum-Micah, G.",1,0
"Kaur, R.",4,0
"Singh, A.",12,4
"Wang, J.S.-H.",2,6
"Ssewamala, F.",4,7
"Neilands, T.B.",6,13
"Bermudez, L.G.",2,6
"Garfinkel, I.",2,6
"Waldfogel, J.",2,6
"Brooks-Gunn, J.",2,6
"You, J.",1,0
"West, S.",4,1
"Mottola, G.",3,0
Gumba,1,0
B.G.,1,0
"Danquah, M",2,1
"Iddrisu, Am",2,1
"Quartey, P",1,0
"Ohemeng, W",1,0
"Barimah, A",1,0
"Buckland, J.",5,1
"Frimpong, J.",1,0
"Nur, W.",1,0
"Islam, M.S.",4,0
"Baida, U.",1,0
"Akhtar, T.",1,0
"Ma, J.",1,0
"Wang, A.",1,0
"Luo, S.",2,0
"Weng, Z.",1,0
"He, K.",2,0
"Kacou, K.Y.T.",1,0
"Kassouri, Y.",1,0
"Alola, A.A.",1,0
"Altuntaş, M.",1,0
"Michael, B.",1,0
"Koroleska, N.",1,0
"Tai, A.",1,0
"Wong, D.W.H.",1,0
"Liu, H.",6,0
