source,target,weight
"Khobragade, A.","Dhal, S.",2
"Balachandran, R.","Gupta, B.",2
"Balachandran, R.","Saroy, R.",2
"Balachandran, R.","Awasthy, S.",2
"Balachandran, R.","Misra, R.",2
"Balachandran, R.","Dhal, S.",2
"Gupta, B.","Saroy, R.",2
"Gupta, B.","Awasthy, S.",2
"Gupta, B.","Misra, R.",2
"Gupta, B.","Dhal, S.",2
"Saroy, R.","Awasthy, S.",2
"Saroy, R.","Misra, R.",2
"Saroy, R.","Dhal, S.",2
"Awasthy, S.","Misra, R.",2
"Awasthy, S.","Dhal, S.",2
"Misra, R.","Dhal, S.",2
"Natarajan, N.","Guermond, V.",2
"Brickell, K.","Guermond, V.",2
"Brickell, K.","Lawreniuk, S.",2
"Brickell, K.","Parsons, L.",2
"Guermond, V.","Lawreniuk, S.",2
"Guermond, V.","Parsons, L.",2
"Lawreniuk, S.","Parsons, L.",2
"Compaoré, E.D.","Maiga, B.",2
"Dianda, P.","Thiombiano, N.",2
"Khan, A.A.","Ahmad, Z.",3
"Khan, A.A.","Mansur, M.",2
"Ahmad, Z.","Mansur, M.",2
"Kumari, D.","Giri, A.K.",2
"Wirajing, M.A.K.","Nchofoung, T.N.",2
"Lee Kuo Chuen, D.","Deng, R.",2
"Issahaku, H.","Amidu, M.",3
"Makina, D.","Munongo, S.",3
"Makina, D.","Tsaurai, K.",3
"Thomason, J.","Bernhardt, S.",2
"Thomason, J.","Kansara, T.",2
"Thomason, J.","Cooper, N.",2
"Ray, N.","Das, S.",2
"Karlan, D.","Zinman, J.",3
"Wu, H.","Wang, J.",2
"Fekete-Farkas, M.","Setiawan, B.",3
"Fekete-Farkas, M.","Nathan, R.J.",3
"Joo, S.-H.","Grable, J.E.",2
"Kim, M.","Duvendack, M.",2
"Shi, X.","Farnsworth, V.",2
"Frimpong Boamah, E.","Murshid, N.S.",2
"Engel, L.","Ewesesan, R.",2
"Engel, L.","Arowolo, I.",2
"Engel, L.","Karpa, J.",2
"Ewesesan, R.","Arowolo, I.",2
"Ewesesan, R.","Karpa, J.",2
"Arowolo, I.","Karpa, J.",2
"Morgan, P.J.","Long, T.Q.",2
"Su, L.","Peng, Y.",2
"Su, L.","Kong, R.",2
"Peng, Y.","Kong, R.",2
"Óskarsdóttir, M.","Bravo, C.",2
"Óskarsdóttir, M.","Sarraute, C.",2
"Óskarsdóttir, M.","Vanthienen, J.",2
"Óskarsdóttir, M.","Baesens, B.",2
"Bravo, C.","Sarraute, C.",2
"Bravo, C.","Vanthienen, J.",2
"Bravo, C.","Baesens, B.",2
"Sarraute, C.","Vanthienen, J.",2
"Sarraute, C.","Baesens, B.",2
"Vanthienen, J.","Baesens, B.",2
"Yoshino, N.","Taghizadeh-Hesary, F.",2
"Eshun, S.F.","Kočenda, E.",2
"Mertzanis, C.","Jegerson, D.",4
"Mertzanis, C.","Khan, M.",3
"Potrich, A.C.G.","Vieira, K.M.",3
"Potrich, A.C.G.","Bressan, A.A.",2
"Vieira, K.M.","Matheis, T.K.",3
"Vieira, K.M.","Bressan, A.A.",2
"Vieira, K.M.","Lehnhart, E.D.R.",2
"Roa, M.J.","Villegas, A.",4
"Roa, M.J.","Garrón, I.",2
"Roa, M.J.","Barboza, J.",2
"Guo, J.","Lu, X.",2
"Moreno-Herrero, D.","Salas-Velasco, M.",2
"Moreno-Herrero, D.","Sánchez Campillo, J.",2
"Salas-Velasco, M.","Sánchez Campillo, J.",2
"Chen, X.","He, G.",2
"Chen, X.","Song, Y.",2
"Chen, X.","Wu, X.",2
"Singh, J","Singh, M",2
T.J.,Gopane,2
"Olson, J.G.","Nikolova, H.",2
"Olson, J.G.","Gladstone, J.J.",2
"Alamsyah, A.","Astuti, R.F.",2
"Gupta, P.","Aggarwal, M.",4
"Gupta, P.","Bamba, M.",4
"Johri, A.","Sharma, A.",3
"Johri, A.","Mohan, A.",2
"Nnanna, J.","Ngoungou, Y.E.",2
"Naranpanawa, A.","Selvanathan, S.",4
"Naranpanawa, A.","Basnayake, D.",2
"Naranpanawa, A.","Bandara, J.S.",2
"Selvanathan, S.","Basnayake, D.",2
"Selvanathan, S.","Bandara, J.S.",2
"Sengupta, R","Rooj, D",2
"Ahmad, A.H.","Green, C.J.",4
"Ahmad, A.H.","Jiang, F.",4
"Ahmad, A.H.","Mohd Daud, S.N.",2
"Ahmad, A.H.","Sakyi-Nyarko, C.",4
"Ahmad, A.H.","Green, C.",2
"Green, C.J.","Jiang, F.",4
"Wang, W.","Lu, X.",2
"Cull, R.","Harten, S.",2
"Cull, R.","Rusu, A.B.",2
"Cull, R.","Giné, X.",2
"Cull, R.","Heitmann, S.",2
"Cull, R.","Allen, F.",2
"Cull, R.","Carletti, E.",2
"Cull, R.","Qian, J.Q.J.",2
"Cull, R.","Senbet, L.",2
"Cull, R.","Valenzuela, P.",3
"Harten, S.","Rusu, A.B.",2
"Mohamed, T.S.","Elgammal, M.M.",3
"Elouaourti, Z.","Ibourk, A.",3
"Elouaourti, Z.","Ezzahid, E.",4
"Chai, S.","Chen, Y.",2
"Cowling, M.","Yang, H.",2
"Cowling, M.","Wilson, N.",2
"Urquía-Grande, E.","López-Sánchez, P.",4
"Urquía-Grande, E.","Del Campo, C.",2
"López-Sánchez, P.","Del Campo, C.",2
"Wagner, J.","Walstad, W.B.",3
"Banna, H.","Alam, M.R.",2
"Law, S.H.","Sabri, M.F.",2
"Dircio Palacios Macedo, M.D.C.","Cruz-García, P.",2
"Dircio Palacios Macedo, M.D.C.","Hemández-Trillo, F.",2
"Dircio Palacios Macedo, M.D.C.","Tortosa-Ausina, E.",2
"Cruz-García, P.","Hemández-Trillo, F.",2
"Cruz-García, P.","Tortosa-Ausina, E.",2
"Hemández-Trillo, F.","Tortosa-Ausina, E.",2
"Choung, Y.","Pak, T.-Y.",3
"Douglas J. Cumming, D.","Johan, S.",2
Pandey,D.K.,2
"Mchugh, N.","Baker, R.",3
"Mchugh, N.","Donaldson, C.",3
"Mchugh, N.","Ibrahim, F.",2
"Mchugh, N.","Biosca, O.",2
"Mchugh, N.","Laxton, T.",2
"Baker, R.","Donaldson, C.",3
"Baker, R.","Ibrahim, F.",2
"Baker, R.","Biosca, O.",2
"Baker, R.","Laxton, T.",2
"Donaldson, C.","Ibrahim, F.",2
"Donaldson, C.","Biosca, O.",2
"Donaldson, C.","Laxton, T.",2
Tan,G.K.S.,2
"Nguyen, N.T.","Hong Vo, D.H.",2
"Nguyen, N.T.","Tran, T.H.",2
"Sharma, A.","Mohan, A.",2
"Sharma, A.","Rastogi, S.",3
"Sharma, A.","Panse, C.",2
"Sundarasen, S.","Rajagopalan, U.",2
"Gutiérrez-Nieto, B.","Serrano-Cinca, C.",2
"Serrano-Cinca, C.","Cuéllar-Fernández, B.",2
"Serrano-Cinca, C.","Fuertes-Callén, Y.",2
"Albashrawi, M.","Kartal, H.B.",2
"Sierra, J.","Muriel-Patino, V.",3
"Sierra, J.","Rodriguez-Lopez, F.",3
"Nikolova, H.","Gladstone, J.J.",2
"Gladstone, J.J.","Matz, S.C.",2
Werner,R.A.,2
"Basnayake, D.","Bandara, J.S.",2
"Khatun, M.N.","Sarker, M.N.I.",2
"Khatun, M.N.","Mitra, S.",2
"Sarker, M.N.I.","Mitra, S.",2
"Klapper, L.","Singer, D.",4
"Klapper, L.","Ansar, S.",2
"Klapper, L.","Demirgüç-Kunt, A.",2
"Lusardi, A.","Mitchell, O.S.",5
"Lusardi, A.","Hasler, A.",2
"Lusardi, A.","Davis, H.",2
Bai,Z.,4
"Ahmad, S.","Mueller, A.",2
"Matheis, T.K.","Lehnhart, E.D.R.",2
"Iheanachor, N.","Umukoro, I.O.",2
"Iheanachor, N.","Umukoro, I.",2
"Mushtaq, R.","Murtaza, G.",2
"Mushtaq, R.","Yahiaoui, D.",2
"Murtaza, G.","Yahiaoui, D.",2
"Mersland, R.","Nyarko, S.A.",2
"Szafarz, A.","Hudon, M.",2
"Wang, H.","Li, C.",2
"Wang, H.","Gu, B.",2
"Dash, A.","Mohanta, G.",2
"Giné, X.","Heitmann, S.",2
"Bruhn, M.","Arráiz, I.",2
"Bruhn, M.","Stucchi, R.",2
"Arráiz, I.","Stucchi, R.",2
"Riley, E.","Shonchoy, A.S.",2
"Jiang, Y.","Frempong, L.N.",2
"Allen, F.","Gu, X.",2
"Allen, F.","Jagtiani, J.",2
"Allen, F.","Carletti, E.",2
"Allen, F.","Qian, J.Q.J.",2
"Allen, F.","Senbet, L.",2
"Allen, F.","Valenzuela, P.",2
"Gu, X.","Jagtiani, J.",2
"Balasubramnian, B.","Sargent, C.S.",2
"Tellez Gaytan, J.C.T.","Ahmed, G.",2
"Niankara, I.","Traoret, R.I.",3
"Wahyuni, A.S.","Setiawan, B.",2
"Setiawan, B.","Nathan, R.J.",5
"Setiawan, B.","Nugraha, D.P.",2
"Pandey, A.","Kiran, R.",2
"Pandey, A.","Sharma, R.K.",2
"Pandey, A.","Ramasamy, R.",2
"Kiran, R.","Sharma, R.K.",2
"Rajeev, M.","Tripathi, S.",2
"Rajeev, M.","Saravanabhavan, S.",2
"Simons, R.A.","Henning, M.",2
"Simons, R.A.","Conrad, K.",2
"Henning, M.","Conrad, K.",2
"Kala-Kamdjoug, J.R.","Wamba-Taguimdje, S.-L.",2
"Van Klyton, A.","Tavera-Mesías, J.F.",2
"Jacob, Rt","Sensarma, R",2
"Shen, Y.","Hu, W.",4
"Shen, Y.","Hueng, C.J.",3
"Shen, Y.","Agyekum, F.",2
"Shen, Y.","Wallace, D.",2
"Hu, W.","Hueng, C.J.",3
"Zaimovic, A.","Zaimović, T.",3
"Zaimovic, A.","Nuhic Meskovic, M.",2
"Zaimovic, A.","Arnaut-Berilo, A.",2
"Zaimovic, A.","Dedovic, L.",2
"Zaimovic, A.","Torlaković, A.",2
"Zaimović, T.","Nuhic Meskovic, M.",2
"Zaimović, T.","Arnaut-Berilo, A.",2
"Zaimović, T.","Dedovic, L.",2
"Zaimović, T.","Torlaković, A.",2
"Black, A.C.","Mcmahon, T.J.",2
"Black, A.C.","Rosen, M.I.",2
"Mcmahon, T.J.","Rosen, M.I.",2
"Kostov, P.","Arun, T.",3
"Kostov, P.","Annim, S.",3
"Arun, T.","Annim, S.",3
"Ntayi, J.M.","Okello Candiya Bongomin, G.",8
"Ntayi, J.M.","Yosa, F.",2
"Ntayi, J.M.","Munene, J.C.",10
"Ntayi, J.M.","Okello Candiya Bongomin, G.O.C.",4
"Ntayi, J.M.","Akol Malinga, C.A.",6
"Khan, I.","Sayal, A.U.",2
"Khan, I.","Khan, M.Z.",2
"Hussain, M.","Rehman, R.",2
"Hussain, M.","Katpar, S.J.",2
"Hussain, M.","Khan, R.",2
"Lashitew, A.A.","Van Tulder, R.",2
"Rao, H.","Akanfe, O.",2
"Rao, H.","Valecha, R.",2
"Álvarez-Gamboa, J.","Cabrera-Barona, P.",2
"Álvarez-Gamboa, J.","Jácome-Estrella, H.",2
"Cabrera-Barona, P.","Jácome-Estrella, H.",2
"Raj, A.","Silverman, J.G.",2
"Raj, A.","Klugman, J.",2
"Raj, A.","Mcdougal, L.",3
"Raj, A.","Dehingia, N.",2
"Ibrahim, F.","Biosca, O.",2
"Ibrahim, F.","Laxton, T.",2
"Biosca, O.","Laxton, T.",2
"Mcdougal, L.","Dehingia, N.",2
"Adeabah, D","Andoh, C",2
"Coffie, C.P.K.","Zhao, H.",3
"Coffie, C.P.K.","Adjei Mensah, I.A.",2
"Song, Y.","Gong, Y.",2
"Luther Osabutey, E.L.C.","Jackson, T.",2
"Luther Osabutey, E.L.C.","Senyo, P.K.",2
"Irfan, M.","Kismawadi, E.R.",2
"Biekpe, N.","Cassimon, D.",2
"Ky, S.S.","Rugemintwari, C.",2
"Rugemintwari, C.","Sauviat, A.",2
"Servet, J.-M.","Roesch, M.",2
"Zhao, X.","Si, Y.-W.",2
"Demirgüç-Kunt, A.","Singer, D.",2
"Singer, D.","Ansar, S.",2
"Munyegera, G.K.","Matsumoto, T.",2
"Adegbite, O.O.","Machethe, C.L.",2
"Chamboko, R.","Guvuriro, S.",2
"Carbó, S.","Rodríguez-Fernández, F.",2
"Beyene, S.A.","Garoma, S.",3
"Beyene, S.A.","Belachew, T.",3
"Garoma, S.","Belachew, T.",3
"Brimble, M.","Blue, L.",2
"Ketkar, S.P.","Shankar, R.",2
"Ketkar, S.P.","Banwet, D.K.",2
"Shankar, R.","Banwet, D.K.",2
"Nathan, R.J.","Nugraha, D.P.",2
"Preece, G.L.","Macdonald, M.",2
"Hooda, P.","Singla, A.",2
"Singla, A.","Vasishta, P.",2
"Kaittila, A.","Viitasalo, K.",4
"Kaittila, A.","Moisio, M.",3
"Kaittila, A.","Isoniemi, H.",2
"Kaittila, A.","Kaitsaari, T.",2
"Kaittila, A.","Hakovirta, M.",3
"Viitasalo, K.","Moisio, M.",3
"Viitasalo, K.","Isoniemi, H.",2
"Viitasalo, K.","Kaitsaari, T.",2
"Viitasalo, K.","Hakovirta, M.",3
"Apiors, E.K.","Suzuki, A.",2
"Duvendack, M","Mader, P",2
"Cruz Rambaud, S.C.","López-Pascual, J.",2
"Cruz Rambaud, S.C.","Moro-Visconti, R.",3
"López-Pascual, J.","Moro-Visconti, R.",2
"Muat, S.","Mahdzan, N.S.",2
"Muat, S.","Sukor, M.E.A.",2
"Mahdzan, N.S.","Sukor, M.E.A.",2
"Osabohien, R.","Jakovljevic, M.",2
"Muriel-Patino, V.","Rodriguez-Lopez, F.",4
"Wang, P.","Bai, Z.",2
"Bai, Z.","Jia, M.",3
"Bai, Z.","Zheng, S.",3
"Lee, H.S.","Liew, P.X.",7
"Lee, H.S.","Har, W.M.",2
"Lee, H.S.","Yap, S.",3
"Lee, H.S.","Kuang, K.S.",3
"Lee, H.S.","Nassir, A.M.",2
"Liew, P.X.","Har, W.M.",2
"Liew, P.X.","Yap, S.",3
"Liew, P.X.","Kuang, K.S.",3
"Liew, P.X.","Nassir, A.M.",2
"Suri, T.","Jack, W.",2
"Cuéllar-Fernández, B.","Fuertes-Callén, Y.",2
"Mora, T.","Prior, F.",2
"Alam Siddik, M.N.A.","Kabiraj, S.",2
"Jia, M.","Zheng, S.",2
"Kazemikhasragh, A.","Cicchiello, A.F.",3
"Kazemikhasragh, A.","Monferrà, S.",3
"Kazemikhasragh, A.","Girón, A.",2
"Cicchiello, A.F.","Monferrà, S.",3
"Cicchiello, A.F.","Girón, A.",2
"Monferrà, S.","Girón, A.",2
"Sakyi-Nyarko, C.","Green, C.",2
"Yang, H.","Wilson, N.",2
"Moisio, M.","Isoniemi, H.",2
"Moisio, M.","Kaitsaari, T.",2
"Moisio, M.","Hakovirta, M.",3
"Isoniemi, H.","Hakovirta, M.",2
"Kaitsaari, T.","Hakovirta, M.",2
Murshid,N.S.,2
"Mehta, K.","Rani, A.",2
"Uwamariya, M.","Loebbecke, C.",3
"Uwamariya, M.","Cremer, S.",2
"Loebbecke, C.","Cremer, S.",2
"Zhao, H.","Adjei Mensah, I.A.",2
"Reynolds, T.W.","Biscaye, P.E.",2
"Sharma, H.","Díaz-Andrade, A.",2
"Duvendack, M.","Mader, P.",2
"Seini, A.B.","Alhassan, M.D.",2
"Chambers-Jones, C.","Shufflebottom, M.",2
"Chirwa, G.C.","Manja, L.P.",2
"Okello Candiya Bongomin, G.","Chrysostome, E.",2
"Okello Candiya Bongomin, G.","Yourougou, P.",6
"Okello Candiya Bongomin, G.","Yosa, F.",2
"Okello Candiya Bongomin, G.","Munene, J.C.",10
"Okello Candiya Bongomin, G.","Malinga Akol, C.",2
"Okello Candiya Bongomin, G.","Ntayi, J.",3
"Okello Candiya Bongomin, G.","Akol Malinga, C.A.",2
"Okello Candiya Bongomin, G.","Balinda, R.",3
"Okello Candiya Bongomin, G.","Akol Malinga, C.",2
"Chrysostome, E.","Yourougou, P.",2
"Yourougou, P.","Munene, J.C.",2
"Flynn, J.","Sumberg, J.",2
"Astuti, R","Hartono, D",2
"Knaack, P.","Gruin, J.",2
"Aggarwal, M.","Bamba, M.",4
"Lim, Y.","Livermore, M.",2
"Lim, Y.","Davis, B.C.",2
"Livermore, M.","Davis, B.C.",2
"Saydaliev, H.","Lee, L.E.E.",2
"Çera, G.","Khan, K.A.",3
"Ma, L.","Scott, D.",2
"Ma, L.","Broyd, T.",2
"Wilson, J.O.S.","Berger, A.N.",2
"Van Thiel, D.","Goedee, J.",2
"Van Thiel, D.","Leenders, R.",2
"Goedee, J.","Leenders, R.",2
"Gyasi, R.M.","Adam, A.M.",2
"Mori, N.","Charles, G.",2
"Malik, S.","Singh, K.N.",2
"Jha, S","Dangwal, Rc",3
"Munene, J.C.","Okello Candiya Bongomin, G.O.C.",4
"Munene, J.C.","Akol Malinga, C.A.",6
"Munene, J.C.","Malinga Akol, C.",2
"Okello Candiya Bongomin, G.O.C.","Akol Malinga, C.A.",4
Bekele,W.D.,2
"Inoue, T.","Hamori, S.",2
"Zhu, B.","He, J.",2
"Zhu, B.","Zhai, S.",2
"He, J.","Zhai, S.",2
"Sethy, S.K.","Joshi, D.P.P.",2
"Sethy, S.K.","Goyari, P.",4
"Immurana, M.","Boachie, M.K.",3
"Immurana, M.","Kisseih, K.G.",2
"Immurana, M.","Mohammed, A.",2
"Immurana, M.","Ziblilla, Y.M.",2
"Immurana, M.","Halidu, B.O.",2
"Boachie, M.K.","Kisseih, K.G.",2
"Boachie, M.K.","Mohammed, A.",2
"Boachie, M.K.","Ziblilla, Y.M.",2
"Boachie, M.K.","Halidu, B.O.",2
"Das, S.","Maji, S.K.",2
"Das, S.","Das, T.",2
"Das, S.","Dubey, R.K.D.",2
"Das, S.","Mutsuddi, I.",2
"Das, S.","Debnath, P.",2
"Das, S.","Das, K.",2
"Das, S.","Bhuyan, A.K.",2
"Das, S.","Kanoo, R.",2
"Das, S.","Saha, A.",2
"Das, S.","Debi, H.",2
"Atta-Aidoo, J.","Bizoza, S.",3
"Atta-Aidoo, J.","Saleh, A.O.",3
"Atta-Aidoo, J.","Matthew, E.C.",3
"Bizoza, S.","Saleh, A.O.",3
"Bizoza, S.","Matthew, E.C.",3
"Saleh, A.O.","Matthew, E.C.",3
"Panakaje, N.","Parvin, S.M.R.",2
"Panakaje, N.","Siddiq, A.",2
"Parvin, S.M.R.","Siddiq, A.",2
"Ogechukwu Obokoh, L.O.","Monday, J.U.",2
"Ogechukwu Obokoh, L.O.","Ojiako, U.",2
"Siddiqui, M.A.","Imtiaz, S.",2
"Ly, H.T.N.","Tran, T.H.",2
"Khuong, N.V.","Tran, T.H.",2
Mossie,W.A.,2
"Abebe, A.","Kegne, M.",2
"Widyastuti, U.","Respati, D.K.",2
"Kurniasari, F.","Lestari, E.D.",2
"Peter, S.","Elangovan, G.",2
"Okoli, T.T.","Tewari, D.D.",2
"Offor, K.O.","Ibe, G.I.",2
"Hamid, S.A.","Fahlevi, M.",2
"Hamid, S.A.","Nassir, A.M.",2
"Fahlevi, M.","Nassir, A.M.",2
"Fahlevi, M.","Aljuaid, M.",2
"Nassir, A.M.","Kuang, K.S.",2
"Akol Malinga, C.","Balinda, R.",2
"Musa, H.","Ahmad, N.H.B.",2
"Musa, H.","Nor, A.M.",2
"Ahmad, N.H.B.","Nor, A.M.",2
"Kasturi, A.","Annemalla, R.",2
"González-Nuñez, J.","Domínguez, S.",2
"García-Santillán, A.","Hernández-Mejía, S.",2
"García-Santillán, A.","Tejada-Peña, E.",2
"Van Hove, L.","Ahunov, M.",2
"Gan, C.","Hu, B.",2
"Gan, C.","Revindo, M.D.",2
"Orazi, S.","Martinez, L.B.",5
"Orazi, S.","Guercio, M.B.",3
"Orazi, S.","Vigier, H.P.",4
"Martinez, L.B.","Guercio, M.B.",3
"Martinez, L.B.","Vigier, H.P.",4
"Guercio, M.B.","Vigier, H.P.",2
"Asnawi, A.","Amrawaty, A.A.",2
"Asnawi, A.",Nirwana,3
"Amrawaty, A.A.",Nirwana,2
"Carletti, E.","Qian, J.Q.J.",2
"Carletti, E.","Senbet, L.",2
"Carletti, E.","Valenzuela, P.",2
"Qian, J.Q.J.","Senbet, L.",2
"Qian, J.Q.J.","Valenzuela, P.",2
"Senbet, L.","Valenzuela, P.",2
"De Mel, S.","Woodruff, C.",2
"O'Loughlin, D.","Szmigin, I.",2
"Wilson, N.C.","Stokes, D.",2
"Gonzalez, L.","Christopoulos, T.P.",2
"Hidayat-Ur-Rehman, I.","Bhuiyan, A.B.",2
"Saha, M.","Dutta, K.D.",5
"Scott, D.","Broyd, T.",3
"Suryavanshi, U.","Chaudhry, R.",2
"Jain, S.","Sahu, J.P.",2
"Kulkarni, S.","Kulkarni, P.",3
"Kulkarni, S.","Jadhav, B.",2
"Kulkarni, S.","Kulkarni, A.",2
"Mindra, R.","Moya, M.",2
"Jegerson, D.","Khan, M.",3
"Alkhwaldi, A.F.","Al-Okaily, A.",2
"Mittal, A.","Rani, S.",2
"Nuhic Meskovic, M.","Arnaut-Berilo, A.",2
"Nuhic Meskovic, M.","Dedovic, L.",2
"Nuhic Meskovic, M.","Torlaković, A.",2
"Arnaut-Berilo, A.","Dedovic, L.",2
"Arnaut-Berilo, A.","Torlaković, A.",2
"Dedovic, L.","Torlaković, A.",2
"Desai, R.","Bhatt, K.",2
"Rey-Ares, L.","Álvarez-Espiño, M.",3
"Rey-Ares, L.","Castro-González, S.",2
"Carbonell, P.","Rodríguez-Escudero, A.I.",2
"Bongomin, Goc","Munene, Jc",2
"Bongomin, Goc","Ntayi, Jm",2
"Bongomin, Goc","Malinga, Ca",2
"Munene, Jc","Ntayi, Jm",2
"Munene, Jc","Malinga, Ca",2
"Ntayi, Jm","Malinga, Ca",2
"Tahir, M.S.","D Ahmed, A.D.",2
"Tahir, M.S.","Richards, D.W.",3
"Balasubramanian, S.A.","Kuppusamy, T.",2
"Yumna, A.","Marta, J.",2
"Ahiase, G.","Andriana, D.",2
"Ahiase, G.","Purnomo, B.S.",2
"Ahiase, G.","Heryana, T.",2
"Andriana, D.","Purnomo, B.S.",2
"Andriana, D.","Heryana, T.",2
"Purnomo, B.S.","Heryana, T.",2
"Rastogi, S.","Agarwal, B.",2
"Rastogi, S.","Gautam, R.S.",2
"Rastogi, S.","Bhimavarapu, V.M.",2
"Rastogi, S.","Gautam, R.",2
"Rastogi, S.","Panse, C.",2
"Mir, T.A.","Gopinathan, R.",2
"Mir, T.A.","Joshi, D.P.P.",2
"Gopinathan, R.","Joshi, D.P.P.",2
"Ali, M.M.","Devi, A.",3
"Maryaningsih, N.","Juhro, S.M.",2
Shihadeh,F.H.,2
"Agyekum, F.","Wallace, D.",2
"Rizwan, A.","Mustafa, F.",2
"Chhatoi, B.P.","Sahoo, S.P.",2
"Chhatoi, B.P.","Nayak, D.P.",2
"Agarwal, B.","Kanchan, U.",2
"Dar, A.B.","Ahmed, F.",5
"Dar, A.B.","Sharma, R.L.",3
"Ahmed, F.","Sharma, R.L.",3
S.A.,Shaikh,2
"Febrian, E.","Anwar, M.",2
"Anwar, M.","Nidar, S.R.",2
"Chetioui, H.","Makhtari, M.",2
"Trianto, B.","Mujiatun, S.",2
"Trianto, B.","Cahyono, E.F.",2
"Sultan, N","Mohamed, N",2
"Mujiatun, S.","Cahyono, E.F.",2
"Gómez García, L.D.","Zambrano Aranda, G.M.",2
"Gómez García, L.D.","Toledo Concha, E.J.",2
"Zambrano Aranda, G.M.","Toledo Concha, E.J.",2
"Sait, M.A.","Almunawar, M.N.",2
"Xu, S.","Ali, S.T.",2
"Singh, A.B.","Tandon, P.",5
"Singh, A.B.","Jasuja, D.",2
"Tandon, P.","Jasuja, D.",2
"Korankye, T.","Pearson, B.",2
"Özen, E.","Taneja, S.",2
"Istiqomah, N.","Mafruhah, I.",2
"Lučić, A.","Uzelac, M.",3
"Lučić, A.","Barbić, D.",3
"Lučić, A.","Erceg, N.",2
"Uzelac, M.","Barbić, D.",2
"Kim, D.W.","Jin, H.",2
"Jin, H.","Liu, T.",2
"Yong, W.K.","Wong, S.F.",2
"Yong, W.K.","Mahmud, M.M.",2
"Wong, S.F.","Mahmud, M.M.",2
"Olaleye, S.A.","Sanusi, I.T.",2
"Saputra, M.","Panduwiyasa, H.",2
"Simumba, N.","Okami, S.",3
"Simumba, N.","Kohtake, N.",3
"Simumba, N.","Kodaka, A.",2
"Okami, S.","Kohtake, N.",3
"Okami, S.","Kodaka, A.",2
"Kohtake, N.","Kodaka, A.",2
"Nosrati, L.","Bidgoli, A.M.",2
"Nihaya, I.U.","Kusumawati, N.D.",2
"Majid, M.S.A.","Agustina, M.",2
"Majid, M.S.A.","Nurdin, R.",2
"Agustina, M.","Nurdin, R.",2
"Agustina, M.","Musnadi, S.",2
"Njenga, K.","Ndlovu, S.",2
"Madan, V.","Kour, M.",2
"Fauzi, R.","Suakanto, S.",2
"Khan, R.","Rehman, R.",2
"Khan, R.","Katpar, S.J.",2
"Roy, P.","Patro, B.",3
"Rahman, M.","Hernandez, N.",2
"Rahman, M.","Cǎrbunar, B.",2
"Rahman, M.","Chau, D.H.",2
"Sulastri, R.","Janssen, M.",3
"Singh, A.S.","Ambarkhane, D.",2
"Singh, A.S.","Venkataramani, B.",2
"Kulkarni, A.","Jadhav, B.",2
"Kulkarni, A.","Kulkarni, P.",2
"Rybakovas, E.","Žigiene, G.",2
"Kaliappan, S.","Ramya, R.",2
"Kulkarni, P.","Jadhav, B.",2
"Goyal, P.","Chakrabarti, A.",2
"Traynor, P.","Butler, K.",2
"Traynor, P.","Bowers, J.",2
"Traynor, P.","Reaves, B.",3
"Traynor, P.","Scaife, N.",2
"Traynor, P.","Bates, A.",2
"Butler, K.","Reaves, B.",2
"Bowers, J.","Reaves, B.",2
"Reaves, B.","Scaife, N.",2
"Reaves, B.","Bates, A.",2
"Ogundele, A.T.","Ibitoye, O.A.",2
"Oladipo, A.O.","Ben-Caleb, B.-C.",2
"Oladipo, A.O.","Madugba, J.U.",2
"Ben-Caleb, B.-C.","Madugba, J.U.",2
"Sowon, K.","Cranor, L.F.",2
"Sowon, K.","Fanti, G.",2
"Sowon, K.","Tucker, C.",2
"Sowon, K.","Gueye, A.",2
"Cranor, L.F.","Fanti, G.",2
"Cranor, L.F.","Tucker, C.",2
"Cranor, L.F.","Gueye, A.",2
"Fanti, G.","Tucker, C.",2
"Fanti, G.","Gueye, A.",2
"Tucker, C.","Gueye, A.",2
"Hernandez, N.","Cǎrbunar, B.",2
"Hernandez, N.","Chau, D.H.",2
"Cǎrbunar, B.","Chau, D.H.",2
"Martinelli, F.","Mercaldo, F.",2
"Martinelli, F.","Santone, A.",2
"Mercaldo, F.","Santone, A.",2
"Wilmarth, M.J.","James, S.",2
Rajan,R.G.,2
Mhella,D.J.,2
"Karrar, A.Z.","Rahman, A.A.",2
"Fernades, A.A.R.","Solimun, S.",2
"Onyango, J.","Ochillo, M.",2
"Belousova, V.","Chichkanov, N.",2
"Naz, M","Iftikhar, Sf",2
"Naz, M","Fatima, A",2
"Iftikhar, Sf","Fatima, A",2
"Scaife, N.","Bates, A.",2
"Ibtasam, S.","Yu, S.",2
"Mehmood, H.","Razaq, L.",2
"Mehmood, H.","Anderson, R.",2
"Razaq, L.","Anderson, R.",4
"Razaq, L.","Usmani, M.Z.",3
"Razaq, L.","Mare, S.",2
"Anderson, R.","Mare, S.",3
"Anderson, R.","Usmani, M.Z.",3
"Mare, S.","Usmani, M.Z.",2
"Kromidha, E.","Yadav, N.",2
"Akanfe, O.","Valecha, R.",2
"Damayanti, S.M.","Rahadi, R.A.",2
"Prijadi, R","Wulandari, P",2
N.R.,Simkhada,2
"Ambarkhane, D.","Venkataramani, B.",5
"Sorgente, A.","Lanz, M.",2
Azimi,M.N.,2
"Kisseih, K.G.","Mohammed, A.",2
