source,target,weight
"Morvant-Roux, S.","Servet, J.-M.",2
"Guérin, I.","Servet, J.-M.",4
"Guérin, I.","Roesch, M.",2
"Guérin, I.","Venkatasubramanian, G.",2
"Simpson, W.","Buckland, J.",2
"Hussain, J.","Mahmood, S.",2
"Mahmood, S.","Aslam, S.",2
"David-West, O.","Iheanachor, N.",3
"David-West, O.","Umukoro, I.",2
"Johnen, C.","Musshoff, O.",4
"Johnen, C.","Parlasca, M.",2
"Musshoff, O.","Mader, A.",2
"Musshoff, O.","Ölkers, T.",2
"Musshoff, O.","Parlasca, M.",2
"Musshoff, O.","Wahbi, A.",4
"Mhlanga, D.","Dzingirai, M.",2
"Ankrah, D.A.","Asante, B.O.",2
"Ankrah, D.A.","Prah, S.",2
"Asante, B.O.","Prah, S.",2
K.,Fitzpatrick,4
K.,Singh,2
K.,Richel,2
"Singh, P.","Gupta, S.",2
"Guha, S.","Bhandare, P.V.",2
"Labie, M.","Hudon, M.",2
"Labie, M.","Szafarz, A.",2
"Uduji, Ji","Okolo-Obasi, En",2
"Uduji, Ji","Asongu, Sa",2
"Okolo-Obasi, En","Asongu, Sa",2
"Asongu, Sa","Odhiambo, Nm",6
"Mia, M.A.","Malim, N.A.K.",2
"Mia, M.A.","Banna, H.",2
"Mia, M.A.","Nourani, M.",2
D.,Mhlanga,10
D.,Chirambo,3
D.,Sharma,2
D.,Makina,4
D.,Burton,2
D.,Marron,2
D.,Charles,2
P.,Molyneux,2
P.,Honohan,2
P.,Shrivastava,2
P.,Rambe,2
"Barik, R.","Sharma, P.",2
"Barik, R.","Lenka, S.K.",2
G.,Zulfiqar,3
G.,Pavlidis,2
"Yadav, V.","Singh, B.P.",2
"Singh, B.P.","Yadava, A.K.",2
"Singh, A.","Mcdougal, L.",2
"Singh, A.","Raj, A.",2
"Singh, A.","Ambarkhane, D.",3
"Singh, A.","Venkataramani, B.",4
"Wang, J.S.-H.","Ssewamala, F.",2
"Wang, J.S.-H.","Neilands, T.B.",2
"Wang, J.S.-H.","Bermudez, L.G.",2
"Wang, J.S.-H.","Garfinkel, I.",2
"Wang, J.S.-H.","Waldfogel, J.",2
"Wang, J.S.-H.","Brooks-Gunn, J.",2
"Ssewamala, F.","Neilands, T.B.",2
"Ssewamala, F.","Bermudez, L.G.",2
"Ssewamala, F.","Garfinkel, I.",2
"Ssewamala, F.","Waldfogel, J.",2
"Ssewamala, F.","Brooks-Gunn, J.",2
"Ssewamala, F.","Sherraden, M.",2
"Neilands, T.B.","Bermudez, L.G.",2
"Neilands, T.B.","Garfinkel, I.",2
"Neilands, T.B.","Waldfogel, J.",2
"Neilands, T.B.","Brooks-Gunn, J.",2
"Neilands, T.B.","Byansi, W.",3
"Neilands, T.B.","Namuwonge, F.",3
"Neilands, T.B.","Damulira, C.",2
"Neilands, T.B.","Nakigozi, G.",2
"Neilands, T.B.","Sensoy-Bahar, O.",2
